,sitio,sum_bytes,latitud,longitud,consumed_data,normalized
211,19-03076,1494608074925,25.76616100000527,-100.3002230000117,1.5 TB,0.15044088898284108
212,19-03077,1135400940243,25.674180000001616,-100.24459500002506,1.1 TB,0.11388376510455836
213,19-03078,2271910907281,25.66310500000152,-100.23938799998862,2.3 TB,0.22954832641872186
214,19-03079,3375217113895,25.661904999991556,-100.22140299996656,3.4 TB,0.3418336842988568
215,19-03080,3150468158687,25.666308000003117,-100.18809799999276,3.2 TB,0.3189605990960055
216,19-03081,4628836722338,25.636975999997755,-100.15459699998752,4.6 TB,0.46941669392550694
217,19-03082,3111222102540,25.762943999999152,-100.2075620000195,3.1 TB,0.3149664609017014
218,19-03083,2316978493639,25.711126000000437,-100.30687199998808,2.3 TB,0.23413493168992047
219,19-03084,3385561947088,25.688695000000845,-100.31812599999834,3.4 TB,0.34288649564925344
220,19-03085,1745587818984,25.695800999995694,-100.34783499999162,1.7 TB,0.17598352638793358
221,19-03086,258695715598,25.7487239999995,-100.4091330000033,258.7 GB,0.02465997635532286
222,19-03087,1469643426816,25.756423999997512,-100.20028200000486,1.5 TB,0.14790019408738364
223,19-03088,48105455422,25.624439999999623,-100.38438599999648,48.1 GB,0.003227845739016373
224,19-03089,1993083687928,25.806729000003127,-100.35408700001256,2.0 TB,0.20117160386963184
225,19-03090,4917757733088,25.653053999996093,-100.08254200000871,4.9 TB,0.4988206788724565
226,19-03091,5147877611847,25.6220439999997,-100.1543839999944,5.1 TB,0.5222403721424569
227,19-03092,1846791900820,25.70426399999997,-100.30017299998737,1.8 TB,0.18628323872505578
228,19-03093,3530411783285,25.79398900000461,-100.29338899999861,3.5 TB,0.3576281109857376
229,19-03094,1555931643261,25.758088000001973,-100.28697100001652,1.6 TB,0.1566818933167392
230,19-03095,4941391932956,25.759166700004293,-100.15277780000835,4.9 TB,0.501225971777074
231,19-03097,4692792644450,25.57332899999914,-100.01249790003016,4.7 TB,0.4759255974011242
232,19-03098,2605751021082,25.593075000004493,-99.9849859999962,2.6 TB,0.26352380523700136
233,19-03099,2880139287989,25.62479400000272,-100.28892700001205,2.9 TB,0.29144876801076874
234,19-03100,1804738932977,25.7466910000031,-100.31039899999294,1.8 TB,0.18200343633124486
235,19-03101,1274097601609,24.86007599999599,-99.56699989997767,1.3 TB,0.1279991613244853
236,19-03103,958890215659,24.853953000001173,-99.5588970000204,958.9 GB,0.09591996705757574
237,19-03104,900784296259,24.86277400000113,-99.52863700000057,900.8 GB,0.09000642835393106
238,19-03105,975481334712,24.864399000007143,-99.55246399997121,975.5 GB,0.09760847359305089
239,19-03106,1215652452305,24.88129599999979,-99.55024600003358,1.2 TB,0.12205109861386419
240,19-03107,247699414473,24.836539999997672,-99.57675899999273,247.7 GB,0.023540864000315208
241,19-03108,770164879820,24.877077000000497,-99.57883689997132,770.2 GB,0.07671306715191371
242,19-03110,430687375410,24.847639000005525,-99.57180599999278,430.7 GB,0.04216386145867689
243,19-03112,1023478109827,24.863637000001773,-99.57970600001975,1.0 TB,0.10249318740919063
244,19-03119,2462379483089,25.62166699999946,-100.1042499999828,2.5 TB,0.24893263883472483
245,19-03120,7131436513789,25.63184099999604,-100.09876700001324,7.1 TB,0.7241105509248434
246,19-03123,2428440231405,25.669082999992387,-100.14272200000006,2.4 TB,0.24547858319842297
247,19-03125,1335378074799,25.639133999997625,-100.1802469999787,1.3 TB,0.13423577979173779
248,19-03126,1444533304822,25.724913899997283,-100.09296599999378,1.4 TB,0.14534469406607672
249,19-03127,5152333105332,25.70160500000526,-100.13741299999053,5.2 TB,0.5226938153275824
250,19-03128,2113500962475,25.73646099999483,-100.13028299997515,2.1 TB,0.2134266756587737
251,19-03129,4465247277342,25.732737999995567,-100.19422699999997,4.5 TB,0.4527679165809462
252,19-03130,2198835923939,25.741587999999023,-100.21614899999012,2.2 TB,0.22211136049987426
253,19-03131,792234284204,25.6725469999962,-100.34715000001601,792.2 GB,0.07895910814633897
254,19-03132,5016004746612,25.780556000007554,-100.23925899999988,5.0 TB,0.5088194453146871
255,19-03133,2772413403003,25.682227000006684,-100.4331509999694,2.8 TB,0.28048532062318493
256,19-03135,1099989519349,25.830933999998326,-100.24002999998815,1.1 TB,0.11027988429224096
257,19-03136,1100024808388,25.669834000000257,-100.32879499998512,1.1 TB,0.11028347571803881
258,19-03138,2961321167341,25.775857999998884,-100.32792299999721,3.0 TB,0.29971078658890804
259,19-03139,2718805253212,25.78659700000455,-100.3330679999966,2.7 TB,0.27502952761804306
260,19-03140,4573689549658,25.77557800000066,-100.40103100000923,4.6 TB,0.463804271931204
261,19-03141,1676491014050,25.77921499999317,-100.43440799997774,1.7 TB,0.16895142648323103
262,19-03142,673817892506,25.760210999993824,-100.42004400001984,673.8 GB,0.06690766962367323
263,19-03143,925627261920,25.742723000002627,-100.28014899999839,925.6 GB,0.09253473941873523
264,19-03144,521276585806,25.679708000004275,-100.33015900000424,521.3 GB,0.05138328019158754
265,19-03145,3454849647311,25.691525999996298,-100.43857799999878,3.5 TB,0.3499380232937027
266,19-03146,5057323030263,25.696776999994736,-100.4535819999886,5.1 TB,0.5130244776429141
267,19-03147,2212454059149,25.676421000000722,-100.49001099999444,2.2 TB,0.22349730138967286
268,19-03148,3078297531918,25.682289000001077,-100.50035699999572,3.1 TB,0.3116156710908774
269,19-03149,2967836438658,25.675068999994163,-100.45506400001406,3.0 TB,0.3003738568835642
270,19-03150,1267483210681,25.680012800002363,-100.32461600002695,1.3 TB,0.12732600345765074
271,19-03151,4668075225092,25.796692000003137,-100.58427300001011,4.7 TB,0.4734100633980989
272,19-03154,587182808733,25.66821199999664,-100.3504239999809,587.2 GB,0.058090669113650586
273,19-03157,6217366704260,25.73047000000553,-100.16688899998682,6.2 TB,0.6310841045266327
274,19-03158,1552509013090,25.67344499999857,-100.20521000001952,1.6 TB,0.1563335663959458
275,19-03159,1833967575934,25.67167200000244,-100.31415300001237,1.8 TB,0.18497808526832424
276,19-03160,1245437777345,25.659939000000524,-100.36597100001563,1.2 TB,0.1250824020377401
277,19-03161,551911943898,25.20313499999591,-99.91886580001412,551.9 GB,0.05450109293162752
278,19-03164,300576111850,24.887438000004195,-99.66830300002607,300.6 GB,0.028922215843442508
279,19-03166,1878801021564,25.66243999999064,-100.28726999997687,1.9 TB,0.18954086163755512
280,19-03167,739352198995,25.672866999994337,-100.3766319999945,739.4 GB,0.07357720797434276
281,19-03168,2640665331021,25.89440900000044,-100.17123600001725,2.6 TB,0.26707709421800874
282,19-03169,524080476029,25.697512000006117,-100.37146499998178,524.1 GB,0.05166863689062433
283,19-03171,7390586417428,25.777502999993928,-100.2556239999867,7.4 TB,0.7504846794308458
284,19-03173,1931796428057,25.024199999994355,-100.54609999995846,1.9 TB,0.1949342947102575
285,19-03178,34005726481,24.470105599997385,-100.32013000000572,34.0 GB,0.001792892232308717
286,19-03179,94134017731,24.388308199997116,-100.3910799999795,94.1 GB,0.007912251174779806
287,19-03182,208534386915,23.880275000002783,-100.4861100000134,208.5 GB,0.01955497222396818
288,19-03185,508102318776,25.513540999995023,-100.00655000001738,508.1 GB,0.050042512524910626
289,19-03186,829437263367,25.460474599997266,-99.99841200000981,829.4 GB,0.08274531890495036
290,19-03187,719018206677,25.410046000002733,-99.98949389998462,719.0 GB,0.07150778283119451
291,19-03188,830598592111,25.344469000002988,-99.9902389999682,830.6 GB,0.0828635093156041
292,19-03189,476849415800,25.26111299999302,-99.68221500001411,476.8 GB,0.04686185118681935
293,19-03191,611166980788,25.209885999997596,-99.84892799998627,611.2 GB,0.06053157928574083
294,19-03193,512661616123,25.732390999998092,-100.39415900001177,512.7 GB,0.05050652000644286
295,19-03194,247151162488,25.652777999999042,-100.39644399999666,247.2 GB,0.023485067458996776
296,19-03195,627300270978,25.643994000005325,-100.35318299999928,627.3 GB,0.0621734917955306
297,19-03196,2131519946120,25.669119999998713,-100.31783599998076,2.1 TB,0.21526049841358666
298,19-03197,3498705557773,25.73876499999862,-100.34244499999828,3.5 TB,0.35440131423855975
299,19-03199,2371797894068,25.616933999995208,-100.27054099997052,2.4 TB,0.23971399574217067
300,19-03200,643612927251,25.186054999998383,-99.85259900001758,643.6 GB,0.06383365869807232
301,19-03201,929264162922,25.203525000001637,-99.8272379999981,929.3 GB,0.09290487304812672
